,F1 Binary,F1 Micro,F1 Macro,ROC_AUC,Recall,Precision,Average Precision
Hepatobiliary disorders,0.718,0.704,0.703,0.753,0.729,0.709,0.734
Metabolism and nutrition disorders,0.770,0.661,0.562,0.614,0.820,0.726,0.770
Eye disorders,0.735,0.658,0.626,0.671,0.777,0.698,0.747
Musculoskeletal and connective tissue disorders,0.781,0.685,0.608,0.671,0.818,0.749,0.809
Gastrointestinal disorders,0.942,0.892,0.597,0.732,0.962,0.922,0.953
Immune system disorders,0.804,0.699,0.576,0.640,0.851,0.761,0.815
Reproductive system and breast disorders,0.677,0.677,0.676,0.734,0.680,0.675,0.731
"Neoplasms benign, malignant and unspecified (incl cysts and polyps)",0.383,0.748,0.612,0.700,0.309,0.507,0.429
General disorders and administration site conditions,0.939,0.887,0.540,0.629,0.964,0.916,0.937
Endocrine disorders,0.310,0.776,0.588,0.664,0.234,0.474,0.366
Surgical and medical procedures,0.153,0.845,0.534,0.618,0.096,0.399,0.256
Vascular disorders,0.852,0.758,0.596,0.670,0.904,0.805,0.861
Blood and lymphatic system disorders,0.738,0.667,0.640,0.724,0.765,0.713,0.800
Skin and subcutaneous tissue disorders,0.952,0.909,0.579,0.627,0.967,0.937,0.948
"Congenital, familial and genetic disorders",0.109,0.799,0.498,0.572,0.070,0.267,0.235
Infections and infestations,0.792,0.692,0.600,0.673,0.826,0.761,0.832
"Respiratory, thoracic and mediastinal disorders",0.828,0.722,0.548,0.617,0.896,0.771,0.816
Psychiatric disorders,0.806,0.708,0.609,0.678,0.865,0.754,0.822
Renal and urinary disorders,0.762,0.670,0.613,0.695,0.822,0.710,0.800
"Pregnancy, puerperium and perinatal conditions",0.175,0.911,0.564,0.560,0.113,0.410,0.192
Ear and labyrinth disorders,0.528,0.591,0.583,0.612,0.513,0.546,0.557
Cardiac disorders,0.795,0.698,0.607,0.708,0.848,0.749,0.844
Nervous system disorders,0.948,0.904,0.600,0.721,0.966,0.932,0.961
"Injury, poisoning and procedural complications",0.753,0.652,0.581,0.624,0.796,0.715,0.768
