,F1 Binary,F1 Micro,F1 Macro,ROC_AUC,Recall,Precision,Average Precision
Hepatobiliary disorders,0.654,0.628,0.624,0.675,0.678,0.633,0.655
Metabolism and nutrition disorders,0.701,0.603,0.553,0.587,0.676,0.73,0.758
Eye disorders,0.702,0.607,0.56,0.608,0.754,0.658,0.699
Musculoskeletal and connective tissue disorders,0.742,0.646,0.588,0.633,0.741,0.744,0.781
Gastrointestinal disorders,0.905,0.833,0.602,0.72,0.88,0.932,0.956
Immune system disorders,0.776,0.664,0.553,0.594,0.8,0.754,0.791
Reproductive system and breast disorders,0.607,0.607,0.607,0.652,0.608,0.608,0.625
"Neoplasms benign, malignant and unspecified (incl cysts and polyps)",0.331,0.64,0.542,0.584,0.35,0.314,0.331
General disorders and administration site conditions,0.902,0.825,0.524,0.577,0.89,0.915,0.928
Endocrine disorders,0.262,0.698,0.536,0.557,0.25,0.279,0.277
Surgical and medical procedures,0.253,0.591,0.484,0.553,0.475,0.173,0.177
Vascular disorders,0.795,0.69,0.581,0.617,0.78,0.81,0.825
Blood and lymphatic system disorders,0.727,0.651,0.62,0.658,0.759,0.699,0.737
Skin and subcutaneous tissue disorders,0.922,0.859,0.591,0.67,0.9,0.945,0.953
"Congenital, familial and genetic disorders",0.177,0.671,0.486,0.501,0.199,0.16,0.192
Infections and infestations,0.743,0.651,0.599,0.657,0.711,0.779,0.819
"Respiratory, thoracic and mediastinal disorders",0.797,0.689,0.563,0.596,0.817,0.779,0.805
Psychiatric disorders,0.773,0.673,0.593,0.624,0.796,0.752,0.772
Renal and urinary disorders,0.731,0.654,0.622,0.646,0.731,0.733,0.741
"Pregnancy, puerperium and perinatal conditions",0.131,0.797,0.508,0.509,0.185,0.103,0.114
Ear and labyrinth disorders,0.623,0.506,0.452,0.541,0.912,0.473,0.473
Cardiac disorders,0.755,0.66,0.599,0.635,0.756,0.755,0.772
Nervous system disorders,0.91,0.84,0.594,0.733,0.882,0.941,0.964
"Injury, poisoning and procedural complications",0.658,0.576,0.549,0.597,0.614,0.71,0.743
