,F1 Binary,F1 Micro,F1 Macro,ROC_AUC,Recall,Precision,Average Precision
Hepatobiliary disorders,0.723,0.7,0.698,0.756,0.754,0.694,0.737
Metabolism and nutrition disorders,0.802,0.687,0.527,0.582,0.915,0.714,0.744
Eye disorders,0.747,0.66,0.613,0.655,0.823,0.685,0.733
Musculoskeletal and connective tissue disorders,0.809,0.707,0.59,0.662,0.902,0.734,0.799
Gastrointestinal disorders,0.949,0.904,0.524,0.704,0.99,0.911,0.948
Immune system disorders,0.821,0.707,0.509,0.605,0.925,0.738,0.796
Reproductive system and breast disorders,0.681,0.679,0.679,0.738,0.685,0.678,0.74
"Neoplasms benign, malignant and unspecified (incl cysts and polyps)",0.327,0.777,0.597,0.717,0.213,0.739,0.498
General disorders and administration site conditions,0.951,0.906,0.501,0.643,0.993,0.912,0.942
Endocrine disorders,0.263,0.792,0.571,0.693,0.172,0.568,0.425
Surgical and medical procedures,0.127,0.859,0.525,0.631,0.073,0.533,0.301
Vascular disorders,0.865,0.77,0.541,0.645,0.959,0.787,0.844
Blood and lymphatic system disorders,0.766,0.687,0.647,0.711,0.835,0.707,0.784
Skin and subcutaneous tissue disorders,0.961,0.925,0.502,0.603,0.995,0.929,0.942
"Congenital, familial and genetic disorders",0.062,0.816,0.48,0.581,0.035,0.313,0.244
Infections and infestations,0.826,0.72,0.547,0.63,0.941,0.737,0.806
"Respiratory, thoracic and mediastinal disorders",0.846,0.741,0.522,0.588,0.947,0.764,0.798
Psychiatric disorders,0.809,0.701,0.559,0.652,0.905,0.732,0.805
Renal and urinary disorders,0.777,0.68,0.606,0.693,0.869,0.703,0.795
"Pregnancy, puerperium and perinatal conditions",0.107,0.911,0.53,0.529,0.062,0.4,0.176
Ear and labyrinth disorders,0.542,0.618,0.606,0.663,0.507,0.588,0.627
Cardiac disorders,0.808,0.702,0.569,0.67,0.906,0.73,0.812
Nervous system disorders,0.955,0.914,0.514,0.664,0.991,0.921,0.95
"Injury, poisoning and procedural complications",0.776,0.66,0.532,0.601,0.888,0.69,0.753
