,F1 Binary,F1 Micro,F1 Macro,ROC_AUC,Recall,Precision,Average Precision
Hepatobiliary disorders,0.700,0.674,0.671,0.723,0.734,0.670,0.713
Metabolism and nutrition disorders,0.808,0.685,0.469,0.565,0.956,0.700,0.748
Eye disorders,0.735,0.623,0.536,0.613,0.859,0.644,0.701
Musculoskeletal and connective tissue disorders,0.803,0.689,0.531,0.653,0.922,0.711,0.795
Gastrointestinal disorders,0.951,0.908,0.545,0.754,0.992,0.914,0.961
Immune system disorders,0.823,0.706,0.482,0.602,0.940,0.732,0.806
Reproductive system and breast disorders,0.637,0.648,0.647,0.689,0.622,0.656,0.684
"Neoplasms benign, malignant and unspecified (incl cysts and polyps)",0.214,0.750,0.533,0.678,0.134,0.544,0.438
General disorders and administration site conditions,0.952,0.908,0.476,0.655,0.998,0.910,0.949
Endocrine disorders,0.221,0.790,0.549,0.640,0.140,0.574,0.390
Surgical and medical procedures,0.031,0.849,0.475,0.645,0.018,0.124,0.256
Vascular disorders,0.867,0.769,0.490,0.634,0.981,0.777,0.846
Blood and lymphatic system disorders,0.743,0.651,0.599,0.697,0.827,0.676,0.777
Skin and subcutaneous tissue disorders,0.963,0.929,0.504,0.631,1.000,0.929,0.951
"Congenital, familial and genetic disorders",0.028,0.821,0.465,0.584,0.015,0.233,0.238
Infections and infestations,0.820,0.706,0.506,0.664,0.943,0.726,0.835
"Respiratory, thoracic and mediastinal disorders",0.852,0.748,0.490,0.607,0.974,0.758,0.815
Psychiatric disorders,0.810,0.691,0.491,0.609,0.941,0.710,0.774
Renal and urinary disorders,0.754,0.639,0.536,0.648,0.866,0.668,0.754
"Pregnancy, puerperium and perinatal conditions",0.037,0.906,0.494,0.538,0.021,0.250,0.146
Ear and labyrinth disorders,0.505,0.613,0.593,0.630,0.444,0.589,0.584
Cardiac disorders,0.808,0.692,0.509,0.639,0.938,0.710,0.793
Nervous system disorders,0.957,0.917,0.488,0.731,0.997,0.919,0.964
"Injury, poisoning and procedural complications",0.773,0.642,0.461,0.599,0.917,0.668,0.751
