,F1 BinaryF1 Micro,F1 Macro,ROC_AUC,Recall,Precision,F1 Micro,F1 Binary
Hepatobiliary disorders,,0.678,0.729,0.686,0.692,0.678,0.688
Metabolism and nutrition disorders,,0.554,0.587,0.796,0.724,0.648,0.758
Eye disorders,,0.616,0.644,0.747,0.695,0.644,0.72
Musculoskeletal and connective tissue disorders,,0.581,0.652,0.798,0.734,0.662,0.764
Gastrointestinal disorders,,0.608,0.723,0.956,0.924,0.889,0.94
Immune system disorders,,0.57,0.621,0.8,0.761,0.672,0.78
Reproductive system and breast disorders,,0.667,0.729,0.662,0.669,0.667,0.665
"Neoplasms benign, malignant and unspecified (incl cysts and polyps)",,0.626,0.68,0.374,0.484,0.739,0.422
General disorders and administration site conditions,,0.534,0.665,0.958,0.915,0.881,0.936
Endocrine disorders,,0.585,0.637,0.258,0.42,0.759,0.317
Surgical and medical procedures,,0.534,0.605,0.133,0.248,0.818,0.171
Vascular disorders,,0.57,0.626,0.859,0.797,0.723,0.826
Blood and lymphatic system disorders,,0.643,0.72,0.749,0.718,0.666,0.733
Skin and subcutaneous tissue disorders,,0.581,0.619,0.955,0.938,0.899,0.946
"Congenital, familial and genetic disorders",,0.523,0.586,0.139,0.249,0.774,0.177
Infections and infestations,,0.61,0.685,0.796,0.773,0.688,0.784
"Respiratory, thoracic and mediastinal disorders",,0.562,0.612,0.872,0.775,0.715,0.821
Psychiatric disorders,,0.597,0.627,0.838,0.749,0.691,0.791
Renal and urinary disorders,,0.622,0.671,0.785,0.72,0.666,0.751
"Pregnancy, puerperium and perinatal conditions",,0.559,0.536,0.124,0.3,0.899,0.172
Ear and labyrinth disorders,,0.582,0.62,0.566,0.536,0.585,0.55
Cardiac disorders,,0.61,0.68,0.808,0.755,0.685,0.78
Nervous system disorders,,0.586,0.721,0.944,0.931,0.884,0.937
"Injury, poisoning and procedural complications",,0.562,0.62,0.765,0.704,0.629,0.733
