,F1 Binary,F1 Micro,F1 Macro,ROC_AUC,Recall,Precision,Average Precision
Hepatobiliary disorders,-0.058,-0.015,0.002,-0.001,-0.173,0.021,-0.005
Metabolism and nutrition disorders,-0.117,-0.089,0.144,0.022,-0.324,0.038,0.026
Eye disorders,-0.061,-0.017,0.130,0.011,-0.230,0.036,0.012
Musculoskeletal and connective tissue disorders,-0.073,-0.041,0.181,-0.015,-0.259,0.057,-0.021
Gastrointestinal disorders,-0.046,-0.074,0.126,0.048,-0.120,0.025,0.011
Immune system disorders,-0.065,-0.062,0.132,0.035,-0.200,0.028,0.014
Reproductive system and breast disorders,-0.002,-0.001,-0.001,0.000,-0.003,0.000,0.000
"Neoplasms benign, malignant and unspecified (incl cysts and polyps)",0.331,-0.105,0.115,-0.095,0.350,0.314,-0.139
General disorders and administration site conditions,-0.051,-0.085,0.048,-0.026,-0.110,0.005,-0.010
Endocrine disorders,0.262,-0.088,0.096,-0.074,0.250,0.279,-0.114
Surgical and medical procedures,0.253,-0.264,0.023,0.026,0.475,0.173,-0.010
Vascular disorders,-0.074,-0.079,0.146,0.040,-0.220,0.041,0.008
Blood and lymphatic system disorders,-0.039,0.018,0.162,-0.003,-0.222,0.071,-0.005
Skin and subcutaneous tissue disorders,-0.040,-0.068,0.110,0.077,-0.100,0.018,0.004
"Congenital, familial and genetic disorders",0.177,-0.153,0.034,-0.084,0.199,0.160,-0.053
Infections and infestations,-0.087,-0.059,0.184,0.002,-0.289,0.069,0.004
"Respiratory, thoracic and mediastinal disorders",-0.059,-0.059,0.135,0.038,-0.183,0.031,0.012
Psychiatric disorders,-0.050,-0.026,0.181,0.006,-0.204,0.053,-0.001
Renal and urinary disorders,-0.050,0.013,0.232,0.001,-0.269,0.092,-0.015
"Pregnancy, puerperium and perinatal conditions",0.131,-0.118,0.030,-0.005,0.185,0.103,-0.015
Ear and labyrinth disorders,0.623,-0.046,0.096,-0.079,0.912,0.473,-0.104
Cardiac disorders,-0.064,-0.033,0.190,-0.006,-0.244,0.062,-0.023
Nervous system disorders,-0.048,-0.079,0.115,0.100,-0.118,0.022,0.010
"Injury, poisoning and procedural complications",-0.141,-0.089,0.150,0.029,-0.386,0.045,0.013
