,F1 Binary,F1 Micro,F1 Macro,ROC_AUC,Recall,Precision,Average Precision
Hepatobiliary disorders,0.055,0.054,0.054,0.055,0.073,0.041,0.046
Metabolism and nutrition disorders,0.109,0.090,-0.046,0.010,0.268,-0.021,-0.001
Eye disorders,0.052,0.030,-0.028,0.025,0.152,-0.012,0.021
Musculoskeletal and connective tissue disorders,0.070,0.058,-0.035,0.036,0.191,-0.024,0.017
Gastrointestinal disorders,0.046,0.074,-0.126,-0.103,0.120,-0.025,-0.027
Immune system disorders,0.063,0.070,-0.022,0.018,0.158,-0.007,0.002
Reproductive system and breast disorders,0.070,0.074,0.073,0.073,0.064,0.077,0.097
"Neoplasms benign, malignant and unspecified (incl cysts and polyps)",-0.331,0.105,-0.115,0.064,-0.350,-0.314,0.014
General disorders and administration site conditions,0.051,0.085,-0.048,0.012,0.110,-0.005,0.003
Endocrine disorders,-0.262,0.088,-0.096,0.017,-0.250,-0.279,-0.015
Surgical and medical procedures,-0.253,0.264,-0.023,0.041,-0.475,-0.173,0.030
Vascular disorders,0.073,0.086,-0.024,0.048,0.181,-0.018,0.027
Blood and lymphatic system disorders,0.002,0.022,0.038,0.060,-0.040,0.041,0.052
Skin and subcutaneous tissue disorders,0.040,0.068,-0.110,-0.044,0.100,-0.018,-0.012
"Congenital, familial and genetic disorders",-0.177,0.153,-0.034,0.062,-0.199,-0.160,0.013
Infections and infestations,0.087,0.059,-0.184,-0.032,0.289,-0.069,-0.040
"Respiratory, thoracic and mediastinal disorders",0.059,0.063,-0.085,-0.002,0.169,-0.022,-0.007
Psychiatric disorders,0.051,0.032,-0.136,-0.030,0.190,-0.045,-0.019
Renal and urinary disorders,0.026,0.016,-0.002,0.027,0.073,-0.018,0.026
"Pregnancy, puerperium and perinatal conditions",-0.112,0.119,-0.020,-0.005,-0.175,0.097,-0.007
Ear and labyrinth disorders,-0.065,0.080,0.133,0.073,-0.329,0.062,0.074
Cardiac disorders,0.054,0.035,-0.076,0.053,0.178,-0.041,0.048
Nervous system disorders,0.048,0.080,-0.095,-0.138,0.118,-0.021,-0.042
"Injury, poisoning and procedural complications",0.132,0.093,-0.044,0.017,0.320,-0.026,0.011
