,F1 Binary,F1 Micro,F1 Macro,ROC_AUC,Recall,Precision,Average Precision
Skin and subcutaneous tissue disorders,0.962,0.927,0.481,0.626,1.0,0.927,0.941
General disorders and administration site conditions,0.953,0.91,0.476,0.589,1.0,0.91,0.931
Gastrointestinal disorders,0.951,0.907,0.476,0.617,1.0,0.907,0.929
Nervous system disorders,0.958,0.92,0.499,0.595,1.0,0.92,0.922
Vascular disorders,0.868,0.776,0.557,0.665,0.961,0.792,0.852
Cardiac disorders,0.809,0.695,0.523,0.688,0.934,0.714,0.82
Musculoskeletal and connective tissue disorders,0.812,0.704,0.553,0.669,0.932,0.72,0.798
"Respiratory, thoracic and mediastinal disorders",0.856,0.752,0.478,0.594,0.986,0.757,0.798
Immune system disorders,0.839,0.734,0.531,0.612,0.958,0.747,0.793
Blood and lymphatic system disorders,0.729,0.673,0.658,0.718,0.719,0.74,0.789
Infections and infestations,0.83,0.71,0.415,0.625,1.0,0.71,0.779
Renal and urinary disorders,0.757,0.67,0.62,0.673,0.804,0.715,0.767
Metabolism and nutrition disorders,0.81,0.693,0.507,0.597,0.944,0.709,0.757
"Injury, poisoning and procedural complications",0.79,0.669,0.505,0.614,0.934,0.684,0.754
Psychiatric disorders,0.824,0.705,0.457,0.594,0.986,0.707,0.753
Reproductive system and breast disorders,0.677,0.681,0.68,0.725,0.672,0.685,0.722
Eye disorders,0.754,0.637,0.532,0.633,0.906,0.646,0.72
Hepatobiliary disorders,0.709,0.682,0.678,0.73,0.751,0.674,0.701
Ear and labyrinth disorders,0.558,0.586,0.585,0.614,0.583,0.535,0.547
"Neoplasms benign, malignant and unspecified (incl cysts and polyps)",0.0,0.745,0.427,0.648,0.0,0.0,0.345
Endocrine disorders,0.0,0.786,0.44,0.574,0.0,0.0,0.262
Surgical and medical procedures,0.0,0.855,0.461,0.594,0.0,0.0,0.207
"Congenital, familial and genetic disorders",0.0,0.824,0.452,0.563,0.0,0.0,0.205
"Pregnancy, puerperium and perinatal conditions",0.019,0.916,0.488,0.504,0.01,0.2,0.107
