,F1 Binary,F1 Micro,F1 Macro,ROC_AUC,Recall,Precision,Average Precision
Hepatobiliary disorders,0.688,0.678,0.678,0.729,0.686,0.692,0.707
Metabolism and nutrition disorders,0.758,0.648,0.554,0.587,0.796,0.724,0.754
Eye disorders,0.720,0.644,0.616,0.644,0.747,0.695,0.716
Musculoskeletal and connective tissue disorders,0.764,0.662,0.581,0.652,0.798,0.734,0.803
Gastrointestinal disorders,0.940,0.889,0.608,0.723,0.956,0.924,0.951
Immune system disorders,0.780,0.672,0.570,0.621,0.800,0.761,0.823
Reproductive system and breast disorders,0.665,0.667,0.667,0.729,0.662,0.669,0.733
"Neoplasms benign, malignant and unspecified (incl cysts and polyps)",0.422,0.739,0.626,0.680,0.374,0.484,0.445
General disorders and administration site conditions,0.936,0.881,0.534,0.665,0.958,0.915,0.949
Endocrine disorders,0.317,0.759,0.585,0.637,0.258,0.420,0.372
Surgical and medical procedures,0.171,0.818,0.534,0.605,0.133,0.248,0.233
Vascular disorders,0.826,0.723,0.570,0.626,0.859,0.797,0.836
Blood and lymphatic system disorders,0.733,0.666,0.643,0.720,0.749,0.718,0.801
Skin and subcutaneous tissue disorders,0.946,0.899,0.581,0.619,0.955,0.938,0.944
"Congenital, familial and genetic disorders",0.177,0.774,0.523,0.586,0.139,0.249,0.234
Infections and infestations,0.784,0.688,0.610,0.685,0.796,0.773,0.845
"Respiratory, thoracic and mediastinal disorders",0.821,0.715,0.562,0.612,0.872,0.775,0.812
Psychiatric disorders,0.791,0.691,0.597,0.627,0.838,0.749,0.775
Renal and urinary disorders,0.751,0.666,0.622,0.671,0.785,0.720,0.774
"Pregnancy, puerperium and perinatal conditions",0.172,0.899,0.559,0.536,0.124,0.300,0.195
Ear and labyrinth disorders,0.550,0.585,0.582,0.620,0.566,0.536,0.577
Cardiac disorders,0.780,0.685,0.610,0.680,0.808,0.755,0.822
Nervous system disorders,0.937,0.884,0.586,0.721,0.944,0.931,0.957
"Injury, poisoning and procedural complications",0.733,0.629,0.562,0.620,0.765,0.704,0.772
