,F1 Binary,F1 Micro,F1 Macro,ROC_AUC,Recall,Precision,Average Precision
Hepatobiliary disorders,0.721,0.698,0.695,0.756,0.754,0.691,0.742
Metabolism and nutrition disorders,0.776,0.666,0.557,0.610,0.838,0.724,0.761
Eye disorders,0.745,0.661,0.618,0.677,0.811,0.690,0.755
Musculoskeletal and connective tissue disorders,0.795,0.698,0.608,0.685,0.853,0.745,0.825
Gastrointestinal disorders,0.945,0.897,0.591,0.727,0.971,0.920,0.952
Immune system disorders,0.839,0.734,0.531,0.612,0.958,0.747,0.793
Reproductive system and breast disorders,0.684,0.679,0.679,0.740,0.695,0.674,0.752
"Neoplasms benign, malignant and unspecified (incl cysts and polyps)",0.422,0.739,0.626,0.680,0.374,0.484,0.445
General disorders and administration site conditions,0.941,0.890,0.554,0.643,0.965,0.918,0.943
Endocrine disorders,0.317,0.759,0.585,0.637,0.258,0.420,0.372
Surgical and medical procedures,0.171,0.818,0.534,0.605,0.133,0.248,0.233
Vascular disorders,0.868,0.776,0.557,0.665,0.961,0.792,0.852
Blood and lymphatic system disorders,0.739,0.664,0.634,0.727,0.775,0.707,0.815
Skin and subcutaneous tissue disorders,0.954,0.912,0.583,0.614,0.971,0.937,0.949
"Congenital, familial and genetic disorders",0.177,0.774,0.523,0.586,0.139,0.249,0.234
Infections and infestations,0.798,0.697,0.595,0.672,0.843,0.757,0.833
"Respiratory, thoracic and mediastinal disorders",0.839,0.736,0.551,0.613,0.919,0.772,0.819
Psychiatric disorders,0.800,0.699,0.594,0.663,0.861,0.747,0.810
Renal and urinary disorders,0.767,0.677,0.622,0.698,0.826,0.715,0.798
"Pregnancy, puerperium and perinatal conditions",0.172,0.899,0.559,0.536,0.124,0.300,0.195
Ear and labyrinth disorders,0.558,0.586,0.585,0.614,0.583,0.535,0.547
Cardiac disorders,0.807,0.710,0.609,0.718,0.876,0.749,0.852
Nervous system disorders,0.952,0.910,0.591,0.708,0.975,0.930,0.958
"Injury, poisoning and procedural complications",0.766,0.662,0.575,0.627,0.834,0.710,0.771
